City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Mocuba,MZ,-16.8392,36.9856,71.46,71,20,3.69,few clouds
245,Taltal,CL,-25.4,-70.4833,56.23,87,44,8.86,scattered clouds
246,Port Lincoln,AU,-34.7333,135.8667,55.98,62,16,11.61,few clouds
247,Pampierstad,ZA,-27.7832,24.6877,54.3,24,0,4.5,clear sky
248,Esna,EG,25.2934,32.554,91.42,11,83,11.68,broken clouds
249,Hit,IQ,33.6416,42.8251,100.8,18,0,16.02,clear sky
250,Pedernales,DO,18.0384,-71.744,78.46,60,19,5.12,few clouds
251,Takoradi,GH,4.8845,-1.7554,75.72,88,100,8.39,overcast clouds
252,Bumbuna,SL,9.05,-11.7333,71.56,99,100,1.14,overcast clouds
253,Castro,BR,-24.7911,-50.0119,55.67,69,100,2.1,overcast clouds
254,Anloga,GH,5.7947,0.8973,77.61,85,100,13.96,light rain
255,Sukabumi,ID,-6.9181,106.9267,81.81,57,33,7.56,scattered clouds
256,Sioux Lookout,CA,50.1001,-91.917,57.27,67,20,4.61,few clouds
257,Opuwo,NA,-18.0607,13.84,61.86,38,0,7.52,clear sky
258,Bryukhovetskaya,RU,45.806,38.9996,84.51,29,0,12.95,clear sky
259,Tilichiki,RU,60.4667,166.1,53.58,93,100,5.3,overcast clouds
260,Banfora,BF,10.6333,-4.7667,76.78,85,99,6.04,overcast clouds
261,San Giorgio Del Sannio,IT,41.0696,14.8522,71.2,99,7,6.08,clear sky
262,Saint Augustine,US,29.8947,-81.3145,78.03,96,100,8.14,overcast clouds
263,Pak Phanang,TH,8.3511,100.202,95.04,57,100,6.87,overcast clouds
264,Peniche,PT,39.3558,-9.3811,71.56,62,0,6.4,clear sky
265,Pundaguitan,PH,6.3711,126.1689,82.8,73,100,7.87,overcast clouds
266,Brae,GB,60.3964,-1.353,53.62,88,100,16.55,overcast clouds
267,Dagana,MR,16.5165,-15.5068,77.27,78,30,11.23,scattered clouds
268,Alipur,PK,29.3846,70.9116,108.07,28,12,6.15,few clouds
269,Ostrovnoy,RU,68.0531,39.5131,65.39,60,91,11.61,light rain
270,Kodiak,US,57.79,-152.4072,53.11,94,100,11.5,light rain
271,Sao Filipe,CV,14.8961,-24.4956,73.36,84,2,7.49,clear sky
272,Grindavik,IS,63.8424,-22.4338,48.67,93,100,18.41,overcast clouds
273,Naze,JP,28.3667,129.4833,88.72,76,100,10.56,overcast clouds
274,Gat,IL,31.61,34.7642,86.4,33,0,5.23,clear sky
275,San Vicente,AR,-26.6167,-54.1333,56.66,87,0,2.89,clear sky
276,Fare,PF,-16.7,-151.0167,78.3,66,0,2.68,clear sky
277,Djambala,CG,-2.5447,14.7533,72.52,58,100,5.68,overcast clouds
278,Akdepe,TM,42.0551,59.3788,84.29,22,39,12.5,scattered clouds
279,Labrea,BR,-7.2586,-64.7981,72.52,65,1,3.06,clear sky
280,Ereymentau,KZ,51.6199,73.1033,69.66,56,100,14.34,overcast clouds
281,Nampula,MZ,-15.1165,39.2666,67.95,94,40,8.05,scattered clouds
282,Malumfashi,NG,11.7853,7.6218,78.44,65,88,8.97,overcast clouds
283,Trinidad,BO,-14.8333,-64.9,76.03,63,81,4.03,broken clouds
284,Redlands,US,34.0556,-117.1825,77.34,65,0,4.61,clear sky
285,Hobyo,SO,5.3505,48.5268,81.68,59,31,26.17,scattered clouds
286,Vila,PT,42.0304,-8.1588,60.69,60,0,4.23,clear sky
287,Kavaratti,IN,10.5669,72.642,81.52,81,100,16.67,overcast clouds
288,Malakal,SS,9.5334,31.6605,73.02,90,100,4.23,overcast clouds
289,Hlotse,LS,-28.8718,28.045,50.11,24,0,1.21,clear sky
290,Abu Samrah,SY,35.3029,37.1841,86.86,27,0,11.9,clear sky
291,Nagapattinam,IN,10.7667,79.8333,90.07,50,100,11.25,overcast clouds
292,Bandarbeyla,SO,9.4942,50.8122,86.09,49,15,34.43,few clouds
293,Flinders,AU,-34.5833,150.8552,55.18,64,0,11.99,clear sky
294,Gallup,US,35.5281,-108.7426,65.01,18,0,2.53,clear sky
295,Cururupu,BR,-1.8283,-44.8683,73.54,94,99,5.99,overcast clouds
296,Bichura,RU,50.5881,107.6022,69.71,61,100,4.83,moderate rain
297,Ribeira Grande,PT,38.5167,-28.7,64.8,88,40,10.36,light intensity shower rain
298,Boulder City,US,35.9786,-114.8325,92.62,17,0,3.44,clear sky
299,Chumikan,RU,54.7183,135.315,75.94,49,100,7.56,overcast clouds
300,Auki,SB,-8.7676,160.7034,80.51,77,90,2.06,overcast clouds
301,Lavrentiya,RU,65.5833,-171.0,46.65,87,99,3.27,overcast clouds
302,Canguaretama,BR,-6.38,-35.1289,72.05,93,36,8.52,light rain
303,Lundazi,ZM,-12.2929,33.1782,67.64,54,52,12.08,broken clouds
304,Vrangel,RU,42.7297,133.0839,65.23,98,100,14.12,light rain
305,Matamoros,MX,25.5333,-103.25,81.93,30,5,8.68,clear sky
306,Hokitika,NZ,-42.7167,170.9667,53.19,93,100,10.83,light rain
307,Cabra,ES,37.4725,-4.4421,78.66,60,0,3.04,clear sky
308,Coahuayana,MX,18.7333,-103.6833,76.62,93,100,1.88,overcast clouds
309,San Policarpo,PH,12.1791,125.5072,85.51,68,100,8.52,overcast clouds
310,Nemuro,JP,43.3236,145.575,59.76,85,5,10.78,clear sky
311,Talakan,RU,50.3167,130.3667,69.06,96,100,8.66,overcast clouds
312,Schruns,AT,47.0709,9.9475,52.97,100,99,3.71,overcast clouds
313,Esperance,AU,-33.8667,121.9,66.87,50,1,9.17,clear sky
314,Orikum,AL,40.3253,19.4714,79.93,45,56,2.82,broken clouds
315,Bulancak,TR,40.9372,38.2291,77.77,60,27,7.45,scattered clouds
316,North Bend,US,43.4065,-124.2243,58.86,97,0,4.61,clear sky
317,Toamasina,MG,-18.1667,49.3833,69.8,88,75,12.66,broken clouds
318,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,57,0,5.75,clear sky
319,Olafsvik,IS,64.8945,-23.7142,47.21,83,95,14.72,overcast clouds
320,Mikhaylovka,RU,50.06,43.2379,83.79,31,0,6.96,clear sky
321,Garowe,SO,8.4054,48.4845,83.34,43,80,34.52,broken clouds
322,Coffs Harbour,AU,-30.3,153.1333,60.76,59,0,5.75,clear sky
323,San Patricio,US,28.017,-97.5169,84.88,81,0,12.08,clear sky
324,Lively,CA,46.4334,-81.1498,59.92,83,99,5.28,overcast clouds
325,Namibe,AO,-15.1961,12.1522,66.33,86,5,3.4,clear sky
326,Hofn,IS,64.2539,-15.2082,51.67,73,10,10.78,clear sky
